Annual_ID,Country_ID,Country,Metric,Year,Value
1,4,Austria,Assets,2005,651029.9648
2,4,Austria,Assets,2006,893428.71
3,4,Austria,Assets,2007,1136275.336
4,4,Austria,Assets,2008,1090808.407
5,4,Austria,Assets,2009,1147722.513
6,4,Austria,Assets,2010,1078515.908
7,4,Austria,Assets,2011,1087914.14
8,4,Austria,Assets,2012,1138594.646
9,4,Austria,Assets,2013,1197311.064
10,4,Austria,Assets,2014,1086087.326
11,4,Austria,Assets,2015,964282.3789
12,4,Austria,Assets,2016,925032.8037
13,4,Austria,Assets,2017,1074287.38
14,4,Austria,Assets,2018,994568.1969
15,4,Austria,Assets,2019,1043207.425
16,4,Austria,Assets,2020,1143060.825
17,4,Austria,Assets,2021,1141894.287
18,4,Austria,Assets,2022,1101635.91
19,4,Austria,Assets,2023,1212167.142
20,4,Austria,Direct investment,2005,146925.0275
21,4,Austria,Direct investment,2006,212268.79
22,4,Austria,Direct investment,2007,305613.8484
23,4,Austria,Direct investment,2008,304464.9924
24,4,Austria,Direct investment,2009,339098.5122
25,4,Austria,Direct investment,2010,318054.3498
26,4,Austria,Direct investment,2011,337370.1921
27,4,Austria,Direct investment,2012,366199.47
28,4,Austria,Direct investment,2013,393904.0584
29,4,Austria,Direct investment,2014,364425.4701
30,4,Austria,Direct investment,2015,333058.3701
31,4,Austria,Direct investment,2016,298642.3415
32,4,Austria,Direct investment,2017,364740.7104
33,4,Austria,Direct investment,2018,324337.28
34,4,Austria,Direct investment,2019,318487.2702
35,4,Austria,Direct investment,2020,331466.7062
36,4,Austria,Direct investment,2021,333461.2246
37,4,Austria,Direct investment,2022,358840.5044
38,4,Austria,Direct investment,2023,379657.005
39,4,Austria,Equity and investment fund shares,2005,139699.4333
40,4,Austria,Equity and investment fund shares,2006,181536.6
41,4,Austria,Equity and investment fund shares,2007,263497.0674
42,4,Austria,Equity and investment fund shares,2008,262104.4278
43,4,Austria,Equity and investment fund shares,2009,291133.7352
44,4,Austria,Equity and investment fund shares,2010,267970.9014
45,4,Austria,Equity and investment fund shares,2011,281366.3184
46,4,Austria,Equity and investment fund shares,2012,307050.768
47,4,Austria,Equity and investment fund shares,2013,323445.8394
48,4,Austria,Equity and investment fund shares,2014,296284.1076
49,4,Austria,Equity and investment fund shares,2015,263862.7755
50,4,Austria,Equity and investment fund shares,2016,224290.3439
51,4,Austria,Equity and investment fund shares,2017,284008.6316
52,4,Austria,Equity and investment fund shares,2018,241388.9
53,4,Austria,Equity and investment fund shares,2019,226807.7196
54,4,Austria,Equity and investment fund shares,2020,233196.8569
55,4,Austria,Equity and investment fund shares,2021,238352.2722
56,4,Austria,Equity and investment fund shares,2022,238595.2202
57,4,Austria,Equity and investment fund shares,2023,256206.405
58,4,Austria,Direct Investor,2006,181536.6
59,4,Austria,Direct Investor,2007,263497.0674
60,4,Austria,Direct Investor,2008,262104.4278
61,4,Austria,Direct Investor,2009,291133.7352
62,4,Austria,Direct Investor,2010,267970.9014
63,4,Austria,Direct Investor,2011,281366.3184
64,4,Austria,Direct Investor,2012,307050.768
65,4,Austria,Direct Investor,2013,323445.8394
66,4,Austria,Direct Investor,2014,296284.1076
67,4,Austria,Direct Investor,2015,263862.7755
68,4,Austria,Direct Investor,2016,224290.3439
69,4,Austria,Direct Investor,2017,284008.6316
70,4,Austria,Direct Investor,2018,241388.9
71,4,Austria,Direct Investor,2019,226510.0186
72,4,Austria,Direct Investor,2020,232876.5838
73,4,Austria,Direct Investor,2021,238352.2722
74,4,Austria,Direct Investor,2022,238595.2202
75,4,Austria,Direct Investor,2023,256206.405
76,4,Austria,Between fellow enterprises,2019,297.701
77,4,Austria,Between fellow enterprises,2020,320.2731
78,4,Austria,Debt instruments,2005,7225.594206
79,4,Austria,Debt instruments,2006,30730.88
80,4,Austria,Debt instruments,2007,42118.2531
81,4,Austria,Debt instruments,2008,42360.5646
82,4,Austria,Debt instruments,2009,47964.777
83,4,Austria,Debt instruments,2010,50083.4484
84,4,Austria,Debt instruments,2011,56003.8737
85,4,Austria,Debt instruments,2012,59148.702
86,4,Austria,Debt instruments,2013,70458.219
87,4,Austria,Debt instruments,2014,68141.3625
88,4,Austria,Debt instruments,2015,69196.6833
89,4,Austria,Debt instruments,2016,74353.0517
90,4,Austria,Debt instruments,2017,80730.8795
91,4,Austria,Debt instruments,2018,82949.525
92,4,Austria,Debt instruments,2019,91679.5506
93,4,Austria,Debt instruments,2020,98271.0764
94,4,Austria,Debt instruments,2021,95108.9524
95,4,Austria,Debt instruments,2022,120245.2842
96,4,Austria,Debt instruments,2023,123450.6
97,4,Austria,Direct Investor,2006,7473.98
98,4,Austria,Direct Investor,2007,10013.2242
99,4,Austria,Direct Investor,2008,11411.94
100,4,Austria,Direct Investor,2009,13380.2928
101,4,Austria,Direct Investor,2010,11941.6194
102,4,Austria,Direct Investor,2011,12517.1886
103,4,Austria,Direct Investor,2012,14352.4332
104,4,Austria,Direct Investor,2013,19537.7097
105,4,Austria,Direct Investor,2014,18943.6023
106,4,Austria,Direct Investor,2015,23524.6296
107,4,Austria,Direct Investor,2016,26207.0342
108,4,Austria,Direct Investor,2017,28226.7248
109,4,Austria,Direct Investor,2018,26470.11
110,4,Austria,Direct Investor,2019,27588.4572
111,4,Austria,Direct Investor,2020,30756.0344
112,4,Austria,Direct Investor,2021,33595.1812
113,4,Austria,Direct Investor,2022,41556.8692
114,4,Austria,Direct Investor,2023,45517.16
115,4,Austria,Reverse Investment,2006,834.98
116,4,Austria,Reverse Investment,2007,3153.2382
117,4,Austria,Reverse Investment,2008,1523.9115
118,4,Austria,Reverse Investment,2009,3062.7156
119,4,Austria,Reverse Investment,2010,4298.5554
120,4,Austria,Reverse Investment,2011,3330.4986
121,4,Austria,Reverse Investment,2012,3718.0692
122,4,Austria,Reverse Investment,2013,5355.0453
123,4,Austria,Reverse Investment,2014,7175.331
124,4,Austria,Reverse Investment,2015,8418.9171
125,4,Austria,Reverse Investment,2016,10335.4505
126,4,Austria,Reverse Investment,2017,13493.3243
127,4,Austria,Reverse Investment,2018,17203.625
128,4,Austria,Reverse Investment,2019,30773.2962
129,4,Austria,Reverse Investment,2020,21690.2196
130,4,Austria,Reverse Investment,2021,21287.217
131,4,Austria,Reverse Investment,2022,23553.7278
132,4,Austria,Reverse Investment,2023,23239.255
133,4,Austria,Between fellow enterprises,2006,22421.93
134,4,Austria,Between fellow enterprises,2007,28951.7907
135,4,Austria,Between fellow enterprises,2008,29424.7131
136,4,Austria,Between fellow enterprises,2009,31523.2092
137,4,Austria,Between fellow enterprises,2010,33844.6098
138,4,Austria,Between fellow enterprises,2011,40156.1865
139,4,Austria,Between fellow enterprises,2012,41076.8802
140,4,Austria,Between fellow enterprises,2013,45565.464
141,4,Austria,Between fellow enterprises,2014,42021.2151
142,4,Austria,Between fellow enterprises,2015,37253.1366
143,4,Austria,Between fellow enterprises,2016,37810.567
144,4,Austria,Between fellow enterprises,2017,39012.0297
145,4,Austria,Between fellow enterprises,2018,39276.935
146,4,Austria,Between fellow enterprises,2019,33317.7972
147,4,Austria,Between fellow enterprises,2020,45823.5953
148,4,Austria,Between fellow enterprises,2021,40226.5542
149,4,Austria,Between fellow enterprises,2022,55133.6206
150,4,Austria,Between fellow enterprises,2023,54695.29
151,4,Austria,Portfolio investment,2005,284228.4931
152,4,Austria,Portfolio investment,2006,352957.32
153,4,Austria,Portfolio investment,2007,405598.8804
154,4,Austria,Portfolio investment,2008,322423.4892
155,4,Austria,Portfolio investment,2009,360462.6102
156,4,Austria,Portfolio investment,2010,355828.7238
157,4,Austria,Portfolio investment,2011,320022.8748
158,4,Austria,Portfolio investment,2012,334252.8378
159,4,Austria,Portfolio investment,2013,355571.9739
160,4,Austria,Portfolio investment,2014,340024.4883
161,4,Austria,Portfolio investment,2015,306698.7657
162,4,Austria,Portfolio investment,2016,308886.0853
163,4,Austria,Portfolio investment,2017,365949.6048
164,4,Austria,Portfolio investment,2018,332281.29
165,4,Austria,Portfolio investment,2019,370914.1014
166,4,Austria,Portfolio investment,2020,430907.2089
167,4,Austria,Portfolio investment,2021,441079.744
168,4,Austria,Portfolio investment,2022,374292.3386
169,4,Austria,Portfolio investment,2023,436318.09
170,4,Austria,Equity and investment fund shares,2005,63610.76973
171,4,Austria,Equity and investment fund shares,2006,88108.62
172,4,Austria,Equity and investment fund shares,2007,100796.1591
173,4,Austria,Equity and investment fund shares,2008,54860.814
174,4,Austria,Equity and investment fund shares,2009,75206.523
175,4,Austria,Equity and investment fund shares,2010,87505.0656
176,4,Austria,Equity and investment fund shares,2011,74039.5458
177,4,Austria,Equity and investment fund shares,2012,86708.3292
178,4,Austria,Equity and investment fund shares,2013,102318.1872
179,4,Austria,Equity and investment fund shares,2014,100301.6574
180,4,Austria,Equity and investment fund shares,2015,97904.6136
181,4,Austria,Equity and investment fund shares,2016,107334.7866
182,4,Austria,Equity and investment fund shares,2017,143185.6263
183,4,Austria,Equity and investment fund shares,2018,127625.135
184,4,Austria,Equity and investment fund shares,2019,159931.7176
185,4,Austria,Equity and investment fund shares,2020,186084.8066
186,4,Austria,Equity and investment fund shares,2021,215852.0406
187,4,Austria,Equity and investment fund shares,2022,182841.905
188,4,Austria,Equity and investment fund shares,2023,211493.685
189,4,Austria,Central bank,2005,2071.600355
190,4,Austria,Central bank,2006,2321.87
191,4,Austria,Central bank,2007,2758.7154
192,4,Austria,Central bank,2008,2887.7775
193,4,Austria,Central bank,2009,3116.0178
194,4,Austria,Central bank,2010,3610.4124
195,4,Austria,Central bank,2011,4806.8385
196,4,Austria,Central bank,2012,6244.7202
197,4,Austria,Central bank,2013,7288.5435
198,4,Austria,Central bank,2014,7571.1276
199,4,Austria,Central bank,2015,7200.6618
200,4,Austria,Central bank,2016,7318.6163
201,4,Austria,Central bank,2017,8570.1978
202,4,Austria,Central bank,2018,8013.855
203,4,Austria,Central bank,2019,8617.6014
204,4,Austria,Central bank,2020,8885.4311
205,4,Austria,Central bank,2021,7993.8908
206,4,Austria,Central bank,2022,6561.7232
207,4,Austria,Central bank,2023,9551.62
208,4,Austria,Deposit-taking Corp (excl. CB),2005,3469.029573
209,4,Austria,Deposit-taking Corp (excl. CB),2006,4480.43
210,4,Austria,Deposit-taking Corp (excl. CB),2007,4482.5445
211,4,Austria,Deposit-taking Corp (excl. CB),2008,2588.562
212,4,Austria,Deposit-taking Corp (excl. CB),2009,2421.6486
213,4,Austria,Deposit-taking Corp (excl. CB),2010,2156.6268
214,4,Austria,Deposit-taking Corp (excl. CB),2011,1749.3528
215,4,Austria,Deposit-taking Corp (excl. CB),2012,1654.5276
216,4,Austria,Deposit-taking Corp (excl. CB),2013,1859.0268
217,4,Austria,Deposit-taking Corp (excl. CB),2014,1472.7033
218,4,Austria,Deposit-taking Corp (excl. CB),2015,1225.8762
219,4,Austria,Deposit-taking Corp (excl. CB),2016,2472.9186
220,4,Austria,Deposit-taking Corp (excl. CB),2017,2501.7398
221,4,Austria,Deposit-taking Corp (excl. CB),2018,2046.115
222,4,Austria,Deposit-taking Corp (excl. CB),2019,2045.7114
223,4,Austria,Deposit-taking Corp (excl. CB),2020,1782.9763
224,4,Austria,Deposit-taking Corp (excl. CB),2021,1690.9718
225,4,Austria,Deposit-taking Corp (excl. CB),2022,1375.914
226,4,Austria,Deposit-taking Corp (excl. CB),2023,1584.57
227,4,Austria,General government,2005,124.8657275
228,4,Austria,General government,2006,171.21
229,4,Austria,General government,2007,198.7335
230,4,Austria,General government,2008,134.9949
231,4,Austria,General government,2009,132.5352
232,4,Austria,General government,2010,207.111
233,4,Austria,General government,2011,157.8558
234,4,Austria,General government,2012,266.5188
235,4,Austria,General government,2013,288.2319
236,4,Austria,General government,2014,406.7235
237,4,Austria,General government,2015,424.593
238,4,Austria,General government,2016,376.3137
239,4,Austria,General government,2017,574.4647
240,4,Austria,General government,2018,556.47
241,4,Austria,General government,2019,594.2786
242,4,Austria,General government,2020,574.2828
243,4,Austria,General government,2021,586.6868
244,4,Austria,General government,2022,550.3656
245,4,Austria,General government,2023,806.65
246,4,Austria,Other sectors,2005,57945.27407
247,4,Austria,Other sectors,2006,81135.1
248,4,Austria,Other sectors,2007,93357.6378
249,4,Austria,Other sectors,2008,49249.4796
250,4,Austria,Other sectors,2009,69539.2026
251,4,Austria,Other sectors,2010,81532.2516
252,4,Austria,Other sectors,2011,67328.0865
253,4,Austria,Other sectors,2012,78539.9238
254,4,Austria,Other sectors,2013,92883.7641
255,4,Austria,Other sectors,2014,90851.103
256,4,Austria,Other sectors,2015,89054.5713
257,4,Austria,Other sectors,2016,97166.938
258,4,Austria,Other sectors,2017,131539.224
259,4,Austria,Other sectors,2018,117008.695
260,4,Austria,Other sectors,2019,148673.0028
261,4,Austria,Other sectors,2020,174840.8893
262,4,Austria,Other sectors,2021,205579.3586
263,4,Austria,Other sectors,2022,174353.9022
264,4,Austria,Other sectors,2023,199550.845
265,4,Austria,Other Financial Corps.,2006,62237.47
266,4,Austria,Other Financial Corps.,2007,71017.0482
267,4,Austria,Other Financial Corps.,2008,36593.3598
268,4,Austria,Other Financial Corps.,2009,49112.9352
269,4,Austria,Other Financial Corps.,2010,55639.368
270,4,Austria,Other Financial Corps.,2011,45401.6571
271,4,Austria,Other Financial Corps.,2012,53411.9508
272,4,Austria,Other Financial Corps.,2013,61385.1201
273,4,Austria,Other Financial Corps.,2014,60311.6316
274,4,Austria,Other Financial Corps.,2015,58739.7198
275,4,Austria,Other Financial Corps.,2016,63893.2174
276,4,Austria,Other Financial Corps.,2017,83495.266
277,4,Austria,Other Financial Corps.,2018,73778.075
278,4,Austria,Other Financial Corps.,2019,96318.0692
279,4,Austria,Other Financial Corps.,2020,110577.6623
280,4,Austria,Other Financial Corps.,2021,125242.908
281,4,Austria,Other Financial Corps.,2022,102548.257
282,4,Austria,Other Financial Corps.,2023,115213.93
283,4,Austria,Debt securities,2005,220617.7233
284,4,Austria,Debt securities,2006,264848.7
285,4,Austria,Debt securities,2007,304802.7213
286,4,Austria,Debt securities,2008,267562.6752
287,4,Austria,Debt securities,2009,285257.5278
